,Age,Days on Site,Listed By,Lot Size,MLS®#,Size,Style,Taxes,Type,Walk Score,address,city,hoot,img_link,price,Business Type,Property Type,Zoning
16,No Data,"1 (Feb 5, 2020)","Harvey Kalles Real Estate Ltd., Brokerage",41.40 x 130 Feet,C4684616,No Data,2-Storey,No Data,Detached,68,298 Brooke Avenue,Toronto,Bedford Park-nortown,https://photos.zolo.ca/298-brooke-avenue-toronto-c4684616-photo-1-processed-480.jpg?2020-02-05+12%3A18%3A10,"$3,895,000",,,
17,6-15 years,"1 (Feb 5, 2020)","Royal Lepage Signature Realty, Brokerage",25.00 x 125 Feet,W4684489,2000-2500 sqft,2-Storey,"$5,043 /yr",Detached,68,108 Royal York Road,Toronto,Mimico,https://photos.zolo.ca/108b-royal-york-road-toronto-w4684489-photo-1-processed-480.jpg?2020-02-05+11%3A36%3A56,"$1,499,900",,,
18,No Data,"1 (Feb 5, 2020)","Tfn Realty Inc., Brokerage",27.99 x 90.75 Feet,W4684484,1500-2000 sqft,2-Storey,"$4,597 /yr",Detached,42,1 Elhurst Court Court,Toronto,Mount Dennis,https://photos.zolo.ca/1b-elhurst-court-court-toronto-w4684484-photo-1-processed-480.jpg?2020-02-05+11%3A36%3A47,"$899,000",,,
19,No Data,"1 (Feb 5, 2020)","Royal Lepage Terrequity Realty, Brokerage",40.00 x 90 Feet,W4684398,No Data,Bungalow,"$3,236 /yr",Detached,49,20 Damascus Drive,Toronto,West Humber-clairville,https://photos.zolo.ca/20-damascus-drive-toronto-w4684398-photo-1-processed-480.jpg?2020-02-05+12%3A33%3A48,"$599,999",,,
20,New,"1 (Feb 5, 2020)","Keller Williams Advantage Realty, Brokerage",42.00 x 124.5 Feet,E4684334,3000-3500 sqft,2-Storey,"$9,485 /yr",Detached,90,359 Ashdale Avenue,Toronto,Greenwood-coxwell,https://photos.zolo.ca/359-ashdale-avenue-toronto-e4684334-photo-1-processed-480.jpg?2020-02-05+10%3A25%3A00,"$1,999,999",,,
21,0-5 years,"1 (Feb 5, 2020)","Royal Lepage Signature Realty, Brokerage",50.00 x 129.37 Feet,C4684422,3500-5000 sqft,2-Storey,"$21,411 /yr",Detached,42,73 De Vere Gardens,Toronto,Bedford Park-nortown,https://photos.zolo.ca/73-de-vere-gardens-toronto-c4684422-photo-1-processed-480.jpg?2020-02-05+12%3A17%3A57,"$5,299,000",,,
22,No Data,"1 (Feb 5, 2020)","Re/max Realtron Barina Realty Inc., Brokerage",55.00 x 160.8 Feet,C4684420,No Data,Bungalow,"$10,792 /yr",Detached,12,15 Artinger Court,Toronto,Banbury-don Mills,https://photos.zolo.ca/15-artinger-court-toronto-c4684420-photo-1-processed-480.jpg?2020-02-05+12%3A17%3A49,"$3,480,000",,,
23,6-15 years,"1 (Feb 5, 2020)","Advocate Realty Ltd., Brokerage",33.00 x 132 Feet,C4684363,No Data,2-Storey,"$11,954 /yr",Detached,81,12 Gilgorm Road,Toronto,Forest Hill North,https://photos.zolo.ca/12-gilgorm-road-toronto-c4684363-photo-1-processed-480.jpg?2020-02-05+12%3A17%3A36,"$2,499,000",,,
24,No Data,"6 (Jan 30, 2020)","Zolo Realty, Brokerage",43.02 x 117 Feet,E4679213,No Data,Bungalow-Raised,"$3,146 /yr",Detached,8,47 Morningside Avenue,Toronto,Guildwood,https://photos.zolo.ca/47-morningside-avenue-toronto-e4679213-photo-1-processed-480.jpg?2020-01-30+09%3A28%3A51,"$919,997",,,
25,0-5 years,"17 (Jan 19, 2020)","Zolo Realty, Brokerage",70.00 x 115 Feet,C4671340,5000 sqft,3-Storey,"$10,920 /yr",Detached,20,28 Caswell Drive,Toronto,Willowdale East,https://photos.zolo.ca/28-caswell-drive-toronto-c4671340-photo-1-processed-480.jpg?2020-01-19+16%3A14%3A26,"$3,998,000",,,
