,Age,Days on Site,Listed By,Lot Size,MLS®#,Size,Style,Taxes,Type,Walk Score,address,city,hoot,img_link,price,Business Type,Property Type,Zoning
153,51-99 years,"2 (Feb 3, 2020)","Blue Elephant Realty Inc., Brokerage",37.99 x 115 Feet,C4682373,No Data,2-Storey,"$8,473 /yr",Detached,43,1 Coldstream Avenue,Toronto,Lawrence Park South,https://photos.zolo.ca/1-coldstream-avenue-toronto-c4682373-photo-1-processed-480.jpg?2020-02-05+15%3A22%3A18,"$1,739,000",,,
154,No Data,"2 (Feb 3, 2020)","Re/max Hallmark Batori Group Inc., Brokerage",25.00 x 130 Feet,C4682360,No Data,2-Storey,"$7,794 /yr",Detached,72,149 Bannockburn Avenue,Toronto,Bedford Park-nortown,https://photos.zolo.ca/149-bannockburn-avenue-toronto-c4682360-photo-1-processed-480.jpg?2020-02-05+12%3A16%3A49,"$1,729,000",,,
155,No Data,"2 (Feb 3, 2020)","Re/max Realtron Bijan Barati Real Estate, Brokerage",49.00 x 120 Feet,C4682348,No Data,Backsplit 4,"$6,111 /yr",Detached,43,6 Revcoe Drive,Toronto,Newtonbrook East,https://photos.zolo.ca/6-revcoe-drive-toronto-c4682348-photo-1-processed-480.jpg?2020-02-03+19%3A20%3A03,"$1,588,000",,,
156,No Data,"2 (Feb 3, 2020)","Royal Lepage Supreme Realty, Brokerage",25.00 x 193.14 Feet,W4682272,No Data,Bungalow,"$2,356 /yr",Detached,45,3585 Eglinton Avenue,Toronto,Mount Dennis,https://photos.zolo.ca/3585-eglinton-avenue-west-toronto-w4682272-photo-1-processed-480.jpg?2020-02-04+11%3A41%3A07,"$575,000",,,
157,New,"2 (Feb 3, 2020)","Royal Lepage Realty Centre, Brokerage",33.00 x 205.28 Feet,W4682242,3000-3500 sqft,2-Storey,No Data,Detached,31,95 Falstaff Avenue,Toronto,Maple Leaf,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","$1,849,900",,,
158,No Data,"2 (Feb 3, 2020)","Ilistrealestate Inc., Brokerage",40.00 x 125 Feet,E4682281,No Data,Bungalow,"$3,223 /yr",Detached,72,1192 Warden Avenue,Toronto,Wexford-maryvale,https://photos.zolo.ca/1192-warden-avenue-toronto-e4682281-photo-1-processed-480.jpg?2020-02-05+13%3A17%3A57,"$699,900",,,
159,No Data,"2 (Feb 3, 2020)","Re/max West Realty Inc., Brokerage",45.00 x 176.41 Feet,E4681444,No Data,Backsplit 4,"$3,410 /yr",Detached,35,93 Marilake Drive,Toronto,Agincourt South-malvern West,https://photos.zolo.ca/93-marilake-drive-toronto-e4681444-photo-1-processed-480.jpg?2020-02-03+12%3A24%3A20,"$978,000",,,
160,51-99 years,"2 (Feb 3, 2020)","Sotheby`s International Realty Canada, Brokerage",50.00 x 125 Feet,C4682300,2000-2500 sqft,2-Storey,"$11,997 /yr",Detached,47,165 Golfdale Road,Toronto,Lawrence Park North,https://photos.zolo.ca/165-golfdale-road-toronto-c4682300-photo-1-processed-480.jpg?2020-02-04+12%3A21%3A11,"$3,266,000",,,
161,No Data,"2 (Feb 3, 2020)","Re/max Hallmark Realty Ltd., Brokerage",60.00 x 104.91 Feet,C4682286,No Data,2-Storey,"$5,718 /yr",Detached,54,5 Averdon Crescent,Toronto,Parkwoods-donalda,https://photos.zolo.ca/5-averdon-crescent-toronto-c4682286-photo-1-processed-480.jpg?2020-02-05+07%3A15%3A19,"$1,395,000",,,
162,No Data,"2 (Feb 3, 2020)","Revolution Realty Inc., Brokerage",32.02 x 80.25 Feet,C4682259,No Data,2-Storey,"$9,474 /yr",Detached,70,19 Clarendon Avenue,Toronto,Casa Loma,https://photos.zolo.ca/19-clarendon-avenue-toronto-c4682259-photo-1-processed-480.jpg?2020-02-03+12%3A21%3A52,"$3,600,000",,,
163,No Data,"2 (Feb 3, 2020)","Re/max Professionals Inc., Brokerage",26.92 x 60 Feet,C4682182,No Data,Bungalow,"$4,686 /yr",Detached,89,97 Claremont Street,Toronto,Trinity-bellwoods,https://photos.zolo.ca/97-claremont-street-toronto-c4682182-photo-1-processed-480.jpg?2020-02-05+11%3A16%3A37,"$999,000",,,
164,No Data,"2 (Feb 3, 2020)","Lolly D Gillen, Brokerage",36.00 x 121.91 Feet,W4682109,1500-2000 sqft,1 1/2 Storey,"$4,472 /yr",Detached,52,6 Teignmouth Avenue,Toronto,Caledonia-fairbank,https://photos.zolo.ca/6-teignmouth-avenue-toronto-w4682109-photo-1-processed-480.jpg?2020-02-04+09%3A47%3A40,"$998,000",,,
165,No Data,"2 (Feb 3, 2020)","Ipro Realty Ltd., Brokerage",80.00 x 148.2 Feet,E4682100,11856 sqft,No Data,"$6,456 /yr",Land,61,8 Lamont Avenue,Toronto,Agincourt South-malvern West,https://photos.zolo.ca/8b-8a-8b-lamont-avenue-toronto-e4682100-photo-1-processed-480.jpg?2020-02-05+14%3A32%3A30,"$1,448,000",,,
166,No Data,"2 (Feb 3, 2020)","Harvey Kalles Real Estate Ltd., Brokerage",50.00 x 120 Feet,C4682172,No Data,2-Storey,"$4,572 /yr",Detached,15,106 King High Avenue,Toronto,Clanton Park,https://photos.zolo.ca/106-king-high-avenue-toronto-c4682172-photo-1-processed-480.jpg?2020-02-05+12%3A16%3A34,"$2,589,000",,,
167,New,"2 (Feb 3, 2020)","Forest Hill Real Estate Inc., Brokerage",50.00 x 114 Feet,C4682105,3500-5000 sqft,2-Storey,"$13,081 /yr",Detached,72,18 Greenview Avenue,Toronto,Newtonbrook West,https://photos.zolo.ca/18-greenview-avenue-toronto-c4682105-photo-1-processed-480.jpg?2020-02-03+11%3A22%3A30,"$2,300,000",,,
168,6-15 years,"2 (Feb 3, 2020)","Royal Lepage/j & D Division, Brokerage",50.17 x 143 Feet,C4682076,3500-5000 sqft,2-Storey,"$18,531 /yr",Detached,53,52 De Vere Gardens,Toronto,Bedford Park-nortown,https://photos.zolo.ca/52-de-vere-gardens-toronto-c4682076-photo-1-processed-480.jpg?2020-02-04+17%3A20%3A37,"$4,595,000",,,
169,No Data,"2 (Feb 3, 2020)","Forest Hill Real Estate Inc., Brokerage",50.00 x 172 Feet,C4682071,3500-5000 sqft,3-Storey,"$14,415 /yr",Detached,55,394 Walmer Road,Toronto,Casa Loma,https://photos.zolo.ca/394-walmer-road-toronto-c4682071-photo-1-processed-orig.jpg?2020-02-05+14%3A15%3A07,"$3,649,900",,,
170,100 years,"2 (Feb 3, 2020)","Engel & Volkers Oakville, Brokerage",25.00 x 109 Feet,W4682042,1100-1500 sqft,2-Storey,"$3,437 /yr",Detached,45,170 Eileen Avenue,Toronto,Rockcliffe-smythe,https://photos.zolo.ca/170-eileen-avenue-toronto-w4682042-photo-1-processed-480.jpg?2020-02-04+12%3A35%3A16,"$699,000",,,
171,No Data,"2 (Feb 3, 2020)","Re/max Premier Inc., Brokerage",90.38 x 117.83 Feet,W4682004,No Data,Sidesplit 4,"$3,057 /yr",Detached,76,1 Stanwood Crescent,Toronto,Humbermede,https://photos.zolo.ca/1-stanwood-crescent-toronto-w4682004-photo-1-processed-480.jpg?2020-02-04+15%3A21%3A41,"$974,900",,,
172,No Data,"2 (Feb 3, 2020)","Royal Lepage Real Estate Services Ltd., Brokerage",65.00 x 125 Feet,W4681959,3500-5000 sqft,2-Storey,"$12,036 /yr",Detached,37,1243 Royal York Road,Toronto,Edenbridge-humber Valley,https://photos.zolo.ca/1243-royal-york-road-toronto-w4681959-photo-1-processed-480.jpg?2020-02-04+12%3A34%3A51,"$2,479,000",,,
173,No Data,"2 (Feb 3, 2020)","Royal Lepage Signature Realty, Brokerage",50.00 x 120 Feet,W4681948,No Data,Bungalow,"$3,700 /yr",Detached,33,97 Cuffley Crescent,Toronto,Downsview-roding-cfb,https://photos.zolo.ca/97-cuffley-crescent-north-toronto-w4681948-photo-1-processed-480.jpg?2020-02-03+10%3A41%3A43,"$849,900",,,
174,No Data,"2 (Feb 3, 2020)","Re/max Professionals Inc., Brokerage",25.93 x 103.06 Feet,E4681985,No Data,2-Storey,"$3,507 /yr",Detached,9,60 Mcinnes Crescent,Toronto,Rouge E11,https://photos.zolo.ca/60-mcinnes-crescent-toronto-e4681985-photo-1-processed-480.jpg?2020-02-05+09%3A20%3A44,"$898,000",,,
175,No Data,"2 (Feb 3, 2020)","Re/max Realtron Realty Inc., Brokerage",53.30 x 99.37 Feet,E4681968,No Data,Bungalow,"$3,094 /yr",Detached,43,147 Pandora Circle,Toronto,Woburn,https://photos.zolo.ca/147-pandora-circle-toronto-e4681968-photo-1-processed-480.jpg?2020-02-03+11%3A24%3A55,"$719,900",,,
176,No Data,"2 (Feb 3, 2020)","Sutton Group-admiral Realty Inc., Brokerage",41.25 x 132 Feet,C4682018,No Data,2-Storey,"$11,127 /yr",Detached,82,22 Sultana Avenue,Toronto,Englemount-lawrence,https://photos.zolo.ca/22-sultana-avenue-toronto-c4682018-photo-1-processed-orig.jpg?2020-02-04+20%3A20%3A20,"$2,295,000",,,
177,No Data,"2 (Feb 3, 2020)","Harvey Kalles Real Estate Ltd., Brokerage",50.00 x 134 Feet,C4681993,No Data,2-Storey,No Data,Detached,38,247 Lytton Boulevard,Toronto,Lawrence Park South,https://photos.zolo.ca/247-lytton-boulevard-toronto-c4681993-photo-1-processed-480.jpg?2020-02-05+12%3A16%3A23,"$4,995,000",,,
178,6-15 years,"2 (Feb 3, 2020)","Re/max Realtron Smart Choice Team, Brokerage",50.00 x 132 Feet,C4681988,3000-3500 sqft,2-Storey,"$8,600 /yr",Detached,24,330 Patricia Avenue,Toronto,Newtonbrook West,https://photos.zolo.ca/330-patricia-avenue-toronto-c4681988-photo-1-processed-480.jpg?2020-02-04+12%3A21%3A04,"$1,869,000",,,
179,No Data,"2 (Feb 3, 2020)","Mccann Realty Group Ltd., Brokerage",52.00 x 129.1 Feet,C4681970,No Data,2-Storey,"$19,437 /yr",Detached,64,17 De Vere Gardens,Toronto,Bedford Park-nortown,https://photos.zolo.ca/17-de-vere-gardens-toronto-c4681970-photo-1-processed-480.jpg?2020-02-04+11%3A22%3A24,"$5,149,000",,,
180,51-99 years,"2 (Feb 3, 2020)","Royal Lepage Real Estate Services Heaps Estrin Team, Brokera",40.00 x 210 Feet,C4681947,3500-5000 sqft,2 1/2 Storey,"$19,854 /yr",Detached,37,167 Rosedale Heights Drive,Toronto,Rosedale-moore Park,https://photos.zolo.ca/167-rosedale-heights-drive-toronto-c4681947-photo-1-processed-480.jpg?2020-02-03+10%3A22%3A15,"$6,395,000",,,
181,No Data,"2 (Feb 3, 2020)","Harvey Kalles Real Estate Ltd., Brokerage",65.93 x 131.91 Feet,C4681943,3500-5000 sqft,2-Storey,"$8,524 /yr",Detached,41,18 Janus Court,Toronto,Hillcrest Village,https://photos.zolo.ca/18-janus-court-toronto-c4681943-photo-1-processed-480.jpg?2020-02-05+11%3A16%3A29,"$2,199,000",,,
182,6-15 years,"2 (Feb 3, 2020)","Harvey Kalles Real Estate Ltd., Brokerage",41.87 x 130 Feet,C4681941,3500-5000 sqft,2-Storey,"$13,580 /yr",Detached,73,282 Brooke Avenue,Toronto,Bedford Park-nortown,https://photos.zolo.ca/282-brooke-avenue-toronto-c4681941-photo-1-processed-480.jpg?2020-02-03+10%3A22%3A00,"$2,695,000",,,
183,No Data,"2 (Feb 3, 2020)","Re/max Hallmark Realty Ltd., Brokerage",25.00 x 122 Feet,C4681923,No Data,2-Storey,"$6,558 /yr",Detached,85,282 Manor Road,Toronto,Mount Pleasant East,https://photos.zolo.ca/282-manor-road-east-toronto-c4681923-photo-1-processed-orig.jpg?2020-02-05+09%3A16%3A35,"$1,488,000",,,
184,16-30 years,"2 (Feb 3, 2020)","Re/max Professionals Inc., Brokerage",70.00 x 165 Feet,W4681817,3000-3500 sqft,2-Storey,"$8,611 /yr",Detached,33,112 Rathburn Road,Toronto,Princess-rosethorn,https://photos.zolo.ca/112-rathburn-road-toronto-w4681817-photo-1-processed-480.jpg?2020-02-03+09%3A49%3A28,"$2,199,000",,,
185,No Data,"2 (Feb 3, 2020)","Re/max Royal Properties Realty, Brokerage",55.00 x 120 Feet,E4681886,No Data,Bungalow-Raised,"$3,372 /yr",Detached,34,83 Purpledusk Trail,Toronto,Morningside,https://photos.zolo.ca/83-purpledusk-trail-toronto-e4681886-photo-1-processed-480.jpg?2020-02-04+13%3A25%3A28,"$849,900",,,
186,No Data,"2 (Feb 3, 2020)","Harvey Kalles Real Estate Ltd., Brokerage",45.00 x 134 Feet,C4681906,3500-5000 sqft,2-Storey,"$15,627 /yr",Detached,53,416 Glengrove Avenue,Toronto,Bedford Park-nortown,https://photos.zolo.ca/416-glengrove-avenue-west-toronto-c4681906-photo-1-processed-480.jpg?2020-02-04+14%3A20%3A33,"$3,295,000",,,
187,6-15 years,"2 (Feb 3, 2020)","Harvey Kalles Real Estate Ltd., Brokerage",92.20 x 164.17 Feet,C4681881,5000 sqft,2-Storey,"$29,630 /yr",Detached,15,71 Plymbridge Road,Toronto,Bridle Path-sunnybrook-york Mills,https://photos.zolo.ca/71-plymbridge-road-toronto-c4681881-photo-1-processed-480.jpg?2020-02-05+10%3A19%3A17,"$6,490,000",,,
188,No Data,"2 (Feb 3, 2020)","Royal Lepage Signature Realty Erica Reddy, Brokerage",45.01 x 135.7 Feet,C4681836,2000-2500 sqft,Bungalow,"$7,265 /yr",Detached,18,274 Dunview Avenue,Toronto,Willowdale East,https://photos.zolo.ca/274-dunview-avenue-toronto-c4681836-photo-1-processed-480.jpg?2020-02-03+17%3A20%3A39,"$1,175,000",,,
189,No Data,"2 (Feb 3, 2020)","Royal Lepage Real Estate Services Heaps Estrin Team, Brokera",25.00 x 136 Feet,C4681823,No Data,2-Storey,"$9,040 /yr",Detached,32,62 Standish Avenue,Toronto,Rosedale-moore Park,https://photos.zolo.ca/62-standish-avenue-toronto-c4681823-photo-1-processed-480.jpg?2020-02-03+10%3A21%3A51,"$1,899,000",,,
190,No Data,"2 (Feb 3, 2020)","Re/max Premier Inc., Brokerage",57.92 x 89.95 Feet,C4681811,No Data,2-Storey,"$10,268 /yr",Detached,81,31 Glen Echo Road,Toronto,Lawrence Park North,https://photos.zolo.ca/31-glen-echo-road-toronto-c4681811-photo-1-processed-480.jpg?2020-02-03+11%3A21%3A33,"$2,500,000",,,
191,51-99 years,"2 (Feb 3, 2020)","Re/max Hallmark Realty Ltd., Brokerage",61.00 x 120 Feet,E4681786,No Data,Bungalow,"$3,473 /yr",Detached,73,19 Brian Avenue,Toronto,Wexford-maryvale,https://photos.zolo.ca/19-brian-avenue-toronto-e4681786-photo-1-processed-480.jpg?2020-02-03+09%3A29%3A00,"$799,000",,,
192,No Data,"2 (Feb 3, 2020)","Royal Lepage Exceptional Real Estate Services, Brokerage",52.00 x 104.6 Feet,C4681775,No Data,2-Storey,"$4,738 /yr",Detached,24,18 Skelmore Crescent,Toronto,Parkwoods-donalda,https://photos.zolo.ca/18-skelmore-crescent-toronto-c4681775-photo-1-processed-480.jpg?2020-02-03+11%3A21%3A30,"$948,800",,,
193,No Data,"2 (Feb 3, 2020)","Ecko Jay Realty Ltd., Brokerage",58.00 x 105 Feet,C4681765,No Data,2-Storey,"$5,100 /yr",Detached,51,25 Avonwick Gate,Toronto,Parkwoods-donalda,https://photos.zolo.ca/25-avonwick-gate-toronto-c4681765-photo-1-processed-480.jpg?2020-02-04+13%3A21%3A26,"$1,368,800",,,
194,6-15 years,"2 (Feb 3, 2020)","Rifo Realty Inc., Brokerage",50.00 x 130 Feet,C4681741,3500-5000 sqft,2-Storey,"$13,212 /yr",Detached,18,259 Dunview Avenue,Toronto,Willowdale East,https://photos.zolo.ca/259-dunview-avenue-toronto-c4681741-photo-1-processed-480.jpg?2020-02-03+06%3A13%3A29,"$3,180,000",,,
195,No Data,"2 (Feb 3, 2020)","Re/max Hallmark Realty Ltd., Brokerage",45.00 x 112 Feet,E4681721,No Data,Bungalow,"$3,699 /yr",Detached,39,70 Holford Crescent,Toronto,Tam O'shanter-sullivan,https://photos.zolo.ca/70-holford-crescent-toronto-e4681721-photo-1-processed-480.jpg?2020-02-03+00%3A12%3A43,"$899,000",,,
196,No Data,"2 (Feb 2, 2020)","Century 21 Leading Edge Realty Inc., Brokerage",40.00 x 125 Feet,E4681706,No Data,Bungalow,"$3,412 /yr",Detached,63,56 Delwood Drive,Toronto,Clairlea-birchmount,https://photos.zolo.ca/56-delwood-drive-toronto-e4681706-photo-1-processed-480.jpg?2020-02-04+15%3A25%3A03,"$958,000",,,
197,No Data,"2 (Feb 2, 2020)","International Realty Firm, Inc., Brokerage",63.00 x 115 Feet,C4681676,No Data,Bungalow-Raised,"$5,200 /yr",Detached,39,247 Brighton Avenue,Toronto,Bathurst Manor,https://photos.zolo.ca/247-brighton-avenue-toronto-c4681676-photo-1-processed-480.jpg?2020-02-05+08%3A17%3A39,$1,,,
198,No Data,"3 (Feb 2, 2020)","Century 21 Leading Edge Realty Inc., Brokerage",50.00 x 144.79 Feet,E4681590,No Data,Bungalow,"$3,209 /yr",Detached,36,17 Jeanette Street,Toronto,Cliffcrest,https://photos.zolo.ca/17-jeanette-street-toronto-e4681590-photo-1-processed-480.jpg?2020-02-02+16%3A11%3A42,"$869,000",,,
199,51-99 years,"3 (Feb 2, 2020)","Royal Lepage Flower City Realty, Brokerage",33.00 x 110 Feet,E4681322,2000-2500 sqft,2-Storey,"$3,879 /yr",Detached,73,23 Roblin Avenue,Toronto,East York,https://photos.zolo.ca/23-roblin-avenue-toronto-e4681322-photo-1-processed-480.jpg?2020-02-02+09%3A13%3A57,"$1,795,000",,,
200,No Data,"3 (Feb 2, 2020)","Century 21 Leading Edge Realty Inc., Brokerage",40.00 x 119.33 Feet,E4681459,No Data,Backsplit 4,"$3,900 /yr",Detached,15,40 Cavehill Crescent,Toronto,Wexford-maryvale,https://photos.zolo.ca/40-cavehill-crescent-toronto-e4681459-photo-1-processed-480.jpg?2020-02-02+01%3A11%3A11,"$849,900",,,
201,No Data,"3 (Feb 1, 2020)","Re/max Realtron Realty Inc., Brokerage",53.71 x 112.5 Feet,C4681441,1500-2000 sqft,Sidesplit 4,"$5,793 /yr",Detached,30,9 Stafford Road,Toronto,Willowdale West,https://photos.zolo.ca/9-stafford-road-toronto-c4681441-photo-1-processed-orig.jpg?2020-02-04+14%3A20%3A25,"$1,998,000",,,
202,No Data,"3 (Feb 1, 2020)",Public Choice Realty Inc.,No Data,E4681370,No Data,Bungalow,No Data,House/Single Family,63,292 Pharmacy Avenue West,Toronto,Clairlea-birchmount,https://photos.zolo.ca/292-pharmacy-avenue-west-toronto-e4681370-largephoto-1-processed-orig.jpg?2020-02-01+20%3A00%3A35,"$699,000",,,
203,No Data,"3 (Feb 1, 2020)","Snobar Realty Group Inc., Brokerage",50.00 x 153.5 Feet,W4681407,No Data,Bungalow,"$3,965 /yr",Detached,31,626 Scarlett Road,Toronto,Humber Heights,https://photos.zolo.ca/626-scarlett-road-toronto-w4681407-photo-1-processed-480.jpg?2020-02-03+15%3A28%3A51,"$999,888",,,
204,No Data,"3 (Feb 1, 2020)","Harvey Kalles Real Estate Ltd., Brokerage",34.00 x 78.83 Feet,C4681377,No Data,3-Storey,"$7,299 /yr",Detached,97,27 Dalton Road,Toronto,Annex,https://photos.zolo.ca/27-dalton-road-toronto-c4681377-photo-1-processed-480.jpg?2020-02-01+17%3A13%3A45,"$2,499,900",,,
205,No Data,"4 (Feb 1, 2020)","Royal Lepage Connect Realty, Brokerage",50.00 x 120 Feet,E4681289,No Data,Backsplit 4,"$3,959 /yr",Detached,58,80 Keyworth Trail,Toronto,Agincourt South-malvern West,https://photos.zolo.ca/80-keyworth-trail-toronto-e4681289-photo-1-processed-orig.jpg?2020-02-03+08%3A19%3A04,"$999,999",,,
206,No Data,"4 (Feb 1, 2020)","Homelife Superstars Real Estate Limited, Brokerage",25.00 x 105 Feet,W4681216,No Data,2-Storey,"$3,495 /yr",Detached,73,5 Aldgate Avenue,Toronto,Stonegate-queensway,https://photos.zolo.ca/5-aldgate-avenue-toronto-w4681216-photo-1-processed-orig.jpg?2020-02-01+11%3A23%3A34,"$1,149,000",,,
207,0-5 years,"4 (Feb 1, 2020)","Right At Home Realty Inc., Brokerage",50.00 x 146 Feet,C4681214,3500-5000 sqft,2-Storey,No Data,Detached,39,352 Byng Avenue,Toronto,Willowdale East,https://photos.zolo.ca/352-byng-avenue-toronto-c4681214-photo-1-processed-480.jpg?2020-02-05+11%3A16%3A23,"$3,688,000",,,
208,No Data,"4 (Feb 1, 2020)","Homelife Landmark Realty Inc., Brokerage",60.00 x 110 Feet,E4681170,2000-2500 sqft,2-Storey,"$4,336 /yr",Detached,54,91 Bushmills Square,Toronto,Agincourt North,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","$899,000",,,
209,New,"4 (Feb 1, 2020)","Ecko Jay Realty Ltd., Brokerage",72.42 x 125.8 Feet,C4681160,3000-3500 sqft,2-Storey,"$12,569 /yr",Detached,73,7 Cassidy Place,Toronto,Banbury-don Mills,https://photos.zolo.ca/7-cassidy-place-toronto-c4681160-photo-1-processed-480.jpg?2020-02-05+14%3A15%3A05,"$2,799,900",,,
210,0-5 years,"4 (Feb 1, 2020)","Royal Lepage Flower City Realty, Brokerage",37.50 x 122 Feet,W4681119,No Data,2-Storey,"$5,187 /yr",Detached,52,34 Government Road,Toronto,Kingsway South,https://photos.zolo.ca/34-government-road-toronto-w4681119-photo-1-processed-480.jpg?2020-02-04+14%3A34%3A26,"$2,790,000",,,
211,No Data,"4 (Feb 1, 2020)","Royal Lepage Connect Realty, Brokerage",45.01 x 116 Feet,E4681097,No Data,Bungalow,"$3,012 /yr",Detached,36,10 Alanbury Crescent,Toronto,Woburn,https://photos.zolo.ca/10-alanbury-crescent-toronto-e4681097-photo-1-processed-480.jpg?2020-02-05+11%3A18%3A24,"$734,900",,,
212,No Data,"4 (Feb 1, 2020)","Homelife Today Realty Ltd., Brokerage",41.00 x 130 Feet,E4681082,No Data,Bungalow,"$2,949 /yr",Detached,23,16 Montavista Street,Toronto,Morningside,https://photos.zolo.ca/16-montavista-street-toronto-e4681082-photo-1-processed-480.jpg?2020-02-01+09%3A16%3A47,"$879,000",,,
213,No Data,"4 (Feb 1, 2020)","Royal Lepage Your Community Realty, Brokerage",55.61 x 146.91 Feet,C4681077,No Data,Bungalow,"$5,249 /yr",Detached,22,19 Caines Avenue,Toronto,Newtonbrook West,https://photos.zolo.ca/19-caines-avenue-toronto-c4681077-photo-1-processed-480.jpg?2020-02-04+10%3A21%3A54,"$1,398,000",,,
214,No Data,"4 (Jan 31, 2020)","Right At Home Realty Inc., Brokerage",30.00 x 105.5 Feet,E4680977,1100-1500 sqft,Bungalow,"$2,920 /yr",Detached,59,110 Robinson Avenue,Toronto,Oakridge,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","$599,000",,,
215,No Data,"4 (Jan 31, 2020)","Sotheby`s International Realty Canada, Brokerage",47.00 x 125 Feet,C4680900,3500-5000 sqft,2 1/2 Storey,"$14,086 /yr",Detached,85,109 Heath Street,Toronto,Yonge-st. Clair,https://photos.zolo.ca/109-heath-street-west-toronto-c4680900-photo-1-processed-480.jpg?2020-02-05+13%3A15%3A20,"$3,775,000",,,
216,0-5 years,"4 (Jan 31, 2020)","Royal Lepage/j & D Division, Brokerage",50.00 x 150 Feet,C4680889,5000 sqft,2-Storey,"$26,995 /yr",Detached,27,206 St Leonard's Avenue,Toronto,Bridle Path-sunnybrook-york Mills,https://photos.zolo.ca/206-st-leonards-avenue-toronto-c4680889-photo-1-processed-480.jpg?2020-02-04+17%3A20%3A26,"$5,599,000",,,
217,No Data,"4 (Jan 31, 2020)","Superstars Realty Ltd., Brokerage",29.52 x 100.06 Feet,E4680886,No Data,2-Storey,"$4,297 /yr",Detached,41,4 Danilack Court,Toronto,Milliken,https://photos.zolo.ca/4-danilack-court-toronto-e4680886-photo-1-processed-480.jpg?2020-02-02+11%3A13%3A27,"$938,000",,,
218,No Data,"5 (Jan 31, 2020)","Re/max Realtron Eli Bakhtiari Team Realty, Brokerage",55.00 x 115.17 Feet,C4680790,No Data,2-Storey,"$4,934 /yr",Detached,51,10 Rochelle Crescent,Toronto,Don Valley Village,https://photos.zolo.ca/10-rochelle-crescent-toronto-c4680790-photo-1-processed-480.jpg?2020-02-05+11%3A16%3A17,"$1,588,000",,,
219,No Data,"5 (Jan 31, 2020)","Fine Homes Realestate Inc., Brokerage",20.37 x 124.25 Feet,E4680671,No Data,2-Storey,"$5,011 /yr",Detached,69,290 Waverley Road,Toronto,The Beaches,https://photos.zolo.ca/290-waverley-road-toronto-e4680671-photo-1-processed-480.jpg?2020-02-02+12%3A13%3A30,"$999,000",,,
220,51-99 years,"5 (Jan 31, 2020)","Royal Lepage Signature Realty, Brokerage",40.86 x 140.04 Feet,C4680685,700-1100 sqft,Bungalow,"$7,264 /yr",Detached,65,254 Willowdale Avenue,Toronto,Willowdale East,https://photos.zolo.ca/254-willowdale-avenue-toronto-c4680685-photo-1-processed-480.jpg?2020-02-04+13%3A21%3A09,"$1,620,000",,,
221,New,"5 (Jan 31, 2020)","Home Land Plus Realty Ltd., Brokerage",20.00 x 120 Feet,C4680670,2000-2500 sqft,3-Storey,No Data,Detached,73,388 Woburn Avenue,Toronto,Lawrence Park North,https://photos.zolo.ca/388-woburn-avenue-toronto-c4680670-photo-1-processed-480.jpg?2020-01-31+15%3A12%3A47,"$2,499,000",,,
222,No Data,"5 (Jan 31, 2020)","Royal Lepage Real Estate Services Nancy Saedi, Brokerage",60.00 x 100 Feet,C4680665,No Data,2-Storey,"$8,691 /yr",Detached,74,41 Tremont Crescent,Toronto,Banbury-don Mills,https://photos.zolo.ca/41-tremont-crescent-toronto-c4680665-photo-1-processed-480.jpg?2020-02-05+11%3A16%3A14,"$2,580,000",,,
223,No Data,"5 (Jan 31, 2020)","Right At Home Realty Inc., Brokerage",40.00 x 130 Feet,C4680657,No Data,2-Storey,"$14,587 /yr",Detached,23,154 Dunblaine Avenue,Toronto,Bedford Park-nortown,https://photos.zolo.ca/154-dunblaine-avenue-toronto-c4680657-photo-1-processed-480.jpg?2020-01-31+20%3A11%3A20,"$2,780,000",,,
224,No Data,"5 (Jan 31, 2020)","Exp Realty, Brokerage",50.00 x 111 Feet,W4680584,No Data,Bungalow,"$2,779 /yr",Detached,38,6 Dorward Drive,Toronto,Mount Olive-silverstone-jamestown,https://photos.zolo.ca/6-dorward-drive-toronto-w4680584-photo-1-processed-480.jpg?2020-02-04+17%3A23%3A34,"$890,333",,,
225,No Data,"5 (Jan 31, 2020)","Snobar Realty Group Inc., Brokerage",50.00 x 110 Feet,W4680564,No Data,Bungalow,"$3,867 /yr",Detached,51,54 Ludstone Drive,Toronto,Willowridge-martingrove-richview,https://photos.zolo.ca/54-ludstone-drive-toronto-w4680564-photo-1-processed-480.jpg?2020-02-02+03%3A08%3A22,"$799,888",,,
226,No Data,"5 (Jan 31, 2020)","Right At Home Realty Inc., Brokerage",48.06 x 102 Feet,E4680547,No Data,Sidesplit 3,"$3,695 /yr",Detached,57,25 Rowatson Road,Toronto,Guildwood,https://photos.zolo.ca/25-rowatson-road-toronto-e4680547-photo-1-processed-480.jpg?2020-02-02+19%3A11%3A22,"$849,900",,,
